SPEC;LONG;LAT
Hypopyrrhus pyrohypogaster;-75.056944;6.971667
Hypopyrrhus pyrohypogaster;-75.011944;6.938056
Hypopyrrhus pyrohypogaster;-75.011944;6.938056
Hypopyrrhus pyrohypogaster;-75.056944;6.971667
Hypopyrrhus pyrohypogaster;-75.011944;6.938056
Hypopyrrhus pyrohypogaster;-75.011944;6.938056
Hypopyrrhus pyrohypogaster;-75.011944;6.938056
Hypopyrrhus pyrohypogaster;-75.056944;6.971667
Hypopyrrhus pyrohypogaster;-75.056944;6.971667
Hypopyrrhus pyrohypogaster;-77.285556;0.468333
Hypopyrrhus pyrohypogaster;-76.016667;5.158056
Hypopyrrhus pyrohypogaster;-76.016667;5.158056
Hypopyrrhus pyrohypogaster;-76.100278;1.616944
Hypopyrrhus pyrohypogaster;-76.100278;1.616944
Hypopyrrhus pyrohypogaster;-76.100278;1.616944
Hypopyrrhus pyrohypogaster;-75.690601;6.116291
Hypopyrrhus pyrohypogaster;-75.6274;6.030105
Hypopyrrhus pyrohypogaster;-75.629029;6.051003
Hypopyrrhus pyrohypogaster;-75.99288;5.470317
Hypopyrrhus pyrohypogaster;-75.453374;6.048298
Hypopyrrhus pyrohypogaster;-75.04494;6.96714
Hypopyrrhus pyrohypogaster;-75.04585;6.96934
Hypopyrrhus pyrohypogaster;-75.04575;6.96561
Hypopyrrhus pyrohypogaster;-75.09108;6.88253
Hypopyrrhus pyrohypogaster;-75.926423;5.404747
Hypopyrrhus pyrohypogaster;-75.601855;6.030436
Hypopyrrhus pyrohypogaster;-75.1251;6.9862
Hypopyrrhus pyrohypogaster;-75.1251;6.9862
Hypopyrrhus pyrohypogaster;-75.1251;6.9862
Hypopyrrhus pyrohypogaster;-75.1251;6.9862
Hypopyrrhus pyrohypogaster;-75.6547;6.1335
Hypopyrrhus pyrohypogaster;-75.6547;6.1335
Hypopyrrhus pyrohypogaster;-75.6547;6.1335
Hypopyrrhus pyrohypogaster;-75.6547;6.1335
Hypopyrrhus pyrohypogaster;-75.6547;6.1335
Hypopyrrhus pyrohypogaster;-75.6547;6.1335
Hypopyrrhus pyrohypogaster;-75.6547;6.1335
Hypopyrrhus pyrohypogaster;-75.6547;6.1335
Hypopyrrhus pyrohypogaster;-75.6547;6.1335
Hypopyrrhus pyrohypogaster;-75.6547;6.1335
Hypopyrrhus pyrohypogaster;-75.6547;6.1335
Hypopyrrhus pyrohypogaster;-75.6547;6.1335
Hypopyrrhus pyrohypogaster;-75.6547;6.1335
Hypopyrrhus pyrohypogaster;-75.6547;6.1335
Hypopyrrhus pyrohypogaster;-75.6092;6.0742
Hypopyrrhus pyrohypogaster;-75.5973;6.1219
Hypopyrrhus pyrohypogaster;-75.5973;6.1219
Hypopyrrhus pyrohypogaster;-75.1251;6.9862
Hypopyrrhus pyrohypogaster;-75.5999;6.1298
Hypopyrrhus pyrohypogaster;-75.902;5.484
Hypopyrrhus pyrohypogaster;-75.5999;6.1298
Hypopyrrhus pyrohypogaster;-75.5999;6.1298
Hypopyrrhus pyrohypogaster;-75.6092;6.0742
Hypopyrrhus pyrohypogaster;-75.4667;6.0667
Hypopyrrhus pyrohypogaster;-75.624;6.0505
Hypopyrrhus pyrohypogaster;-75.5999;6.1298
Hypopyrrhus pyrohypogaster;-75.624;6.0505
Hypopyrrhus pyrohypogaster;-75.1251;6.9862
Hypopyrrhus pyrohypogaster;-76.01667;5.158056
Hypopyrrhus pyrohypogaster;-76.74472;1.069722
Hypopyrrhus pyrohypogaster;-74.855;2.7975
Hypopyrrhus pyrohypogaster;-74.855;2.7975
Hypopyrrhus pyrohypogaster;-77.28555;0.468333
Hypopyrrhus pyrohypogaster;-74.855;2.7975
Hypopyrrhus pyrohypogaster;-74.855;2.7975
Hypopyrrhus pyrohypogaster;-74.855;2.7975
Hypopyrrhus pyrohypogaster;-74.855;2.7975
Hypopyrrhus pyrohypogaster;-74.855;2.7975
Hypopyrrhus pyrohypogaster;-76.01667;5.158056
Hypopyrrhus pyrohypogaster;-74.855;2.7975
Hypopyrrhus pyrohypogaster;-75.1251;6.9862
Hypopyrrhus pyrohypogaster;-75.454702;6.129181
Hypopyrrhus pyrohypogaster;-75.692709;6.096786
Hypopyrrhus pyrohypogaster;-75.717915;5.62938
