name,LONG,LAT
Hypopyrrhus pyrohypogaster,-75.453286,2.259555
Hypopyrrhus pyrohypogaster,-75.438781,6.940059
Hypopyrrhus pyrohypogaster,-76.288633,1.897533
Hypopyrrhus pyrohypogaster,-75.133621,6.549062
Hypopyrrhus pyrohypogaster,-76.366997,1.500921
Hypopyrrhus pyrohypogaster,-75.609391,1.690319
Hypopyrrhus pyrohypogaster,-76.721458,3.500851
Hypopyrrhus pyrohypogaster,-76.81808,1.084578
Hypopyrrhus pyrohypogaster,-75.056806,7.254917
Hypopyrrhus pyrohypogaster,-75.187222,5.888667
Hypopyrrhus pyrohypogaster,-75.810771,5.636272
Hypopyrrhus pyrohypogaster,-76.0365,6.387972
Hypopyrrhus pyrohypogaster,-75.140514,6.985853
Hypopyrrhus pyrohypogaster,-75.884585,5.504589
Hypopyrrhus pyrohypogaster,-75.574865,6.795024
Hypopyrrhus pyrohypogaster,-75.645375,2.808028
Hypopyrrhus pyrohypogaster,-76.832328,1.200083
Hypopyrrhus pyrohypogaster,-76.718903,1.232949
Hypopyrrhus pyrohypogaster,-75.574913,5.902777
Hypopyrrhus pyrohypogaster,-75.6,4.68
Hypopyrrhus pyrohypogaster,-75.6235,3.11348
Hypopyrrhus pyrohypogaster,-75.892525,5.294725
Hypopyrrhus pyrohypogaster,-76.009211,5.021606
Hypopyrrhus pyrohypogaster,-74.855,2.7975
Hypopyrrhus pyrohypogaster,-75.354347,7.072069
Hypopyrrhus pyrohypogaster,-76.11438,1.31565
Hypopyrrhus pyrohypogaster,-74.0833,4.6
Hypopyrrhus pyrohypogaster,-75.201416,6.151478
Hypopyrrhus pyrohypogaster,-76.102982,5.947997
Hypopyrrhus pyrohypogaster,-76.00412,5.74879
Hypopyrrhus pyrohypogaster,-75.498222,4.69375
Hypopyrrhus pyrohypogaster,-74.188826,4.260956
Hypopyrrhus pyrohypogaster,-75.668227,5.922131
Hypopyrrhus pyrohypogaster,-75.29,6.73
Hypopyrrhus pyrohypogaster,-75.98,5.93
Hypopyrrhus pyrohypogaster,-75.020611,6.404361
Hypopyrrhus pyrohypogaster,-76.049167,2.865
Hypopyrrhus pyrohypogaster,-76.626111,2.625556
